# Generate a handin tar file each time you compile
tar -cvf rhouck-handin.tar  csim.c trans.c 
csim.c
trans.c
S 68210c,1 miss 
L 682120,8 miss 
L 682104,4 hit 
L 682100,4 hit 
L 602068,8 miss 
L 4fede48,8 miss 
L 4fedef0,8 miss 
L 4feeb10,8 miss 
L 4fedd90,8 miss 
L 40603c8,8 miss 
L 4feeb24,4 miss 
L 4ff3740,4 miss 
M 4feeb20,4 hit hit 
L 4ff07f8,8 miss 
L 4feedb0,8 miss 
L 4feeb90,8 miss 
L 4fef37c,4 miss 
L 4fef380,4 miss eviction 
L 4fef384,4 hit 
L 4feeb78,8 miss eviction 
L 4228008,8 miss 
S 4feeb78,8 hit 
S 4228008,8 hit 
S 4228238,8 miss 
L 4ff07f4,4 hit 
L 4ff3740,4 hit 
M 4feeb20,4 hit hit 
L 4228008,8 hit 
S 4228098,8 miss 
S 4228084,4 hit 
S 4228090,2 hit 
L 4228098,8 hit 
S 4228010,4 hit 
S 4228048,8 miss 
S 4228050,8 hit 
S 4228028,8 miss 
S 4228018,8 hit 
S 4228020,8 hit 
S 4228030,8 hit 
S 4228038,8 hit 
S 4228040,8 hit 
S 4228078,8 miss eviction 
S 4228058,8 hit 
S 4228060,8 hit 
S 4228068,8 hit 
S 4228070,8 hit 
S 42280f0,4 miss 
S 42280f4,4 hit 
S 42280f8,8 hit 
S 42280d0,4 miss 
S 42280b0,8 miss 
S 4228130,8 miss eviction 
S 4228138,8 hit 
S 4228110,8 miss eviction 
S 4228100,8 hit 
S 4228108,8 hit 
S 4228118,8 hit 
S 4228120,8 hit 
S 4228128,8 hit 
S 4228140,8 miss 
S 4228148,8 hit 
S 4228150,8 hit 
S 4228230,8 hit 
S 42280b8,8 hit 
S 42280e8,8 hit 
M 4228010,4 hit hit 
S 42280a0,8 hit 
L 4228010,4 hit 
L 4ff3730,4 miss eviction 
S 4228010,4 hit 
L 4060410,8 miss eviction 
L 4ff0768,8 miss eviction 
L 4ff3740,4 hit 
M 4ff0760,4 hit hit 
S 4ff0768,8 hit 
L 4228010,4 miss eviction 
L 4ff0764,4 hit 
S 4ff0750,8 miss eviction 
S 4ff0764,4 hit 
L 4228098,8 hit 
L 4060410,8 miss eviction 
L 42280f8,8 hit 
L 4ff3740,4 miss eviction 
M 42280f0,4 hit hit 
L 4228098,8 hit 
L 4228010,4 miss eviction 
S 42280f8,8 hit 
L 4fef520,8 miss eviction 
M 42280f4,4 hit hit 
M 4ff0758,4 miss eviction hit 
S 4fef520,8 hit 
S 4228078,8 hit 
L 42280f4,4 hit 
S 42280f4,4 hit 
L 4ff0764,4 hit 
S 42280f8,8 hit 
L 4ff3740,4 miss eviction 
M 42280f0,4 hit hit 
L 4ff0764,4 hit 
S 4ff0750,8 miss eviction 
S 4ff0764,4 hit 
S 4ff0768,8 hit 
L 4ff3740,4 miss eviction 
M 4ff0760,4 hit hit 
S 4228080,4 hit 
L 4228080,4 hit 
L 40162d,1 miss eviction 
L 40162e,1 hit 
L 40162f,1 hit 
L 4228084,1 hit 
L 4ff3740,4 hit 
L 4228010,4 hit 
S 4228080,4 hit 
S 4228010,4 hit 
L 4228010,4 hit 
L 40162f,1 hit 
L 4db7b9f,1 miss eviction 
L 4228084,1 hit 
L 602100,4 miss eviction 
S 642100,4 miss eviction 
L 602058,8 miss eviction 
L 4fede78,8 miss 
L 4060398,4 miss eviction 
L 42280d0,4 hit 
S 42280d0,4 hit 
L 4228010,4 hit 
L 40163f,16 hit 
L 4ff3730,4 hit 
L 4fedf70,8 miss eviction 
L 4228098,8 hit 
L 4060410,8 miss eviction 
L 42280f8,8 hit 
L 4ff3740,4 hit 
M 42280f0,4 hit hit 
L 4228098,8 hit 
S 42280f8,8 hit 
M 42280f4,4 hit hit 
L 42280e8,8 hit 
L 4fed718,8 miss eviction 
L 40163f,1 hit 
L 4ff3468,8 miss eviction 
L 4ff3470,8 hit 
L 4fef738,8 miss eviction 
L 401640,1 miss eviction 
L 4db0404,1 miss eviction 
L 4db037c,4 miss eviction 
L 4dafe80,1 miss 
L 42280e8,8 hit 
L 4fed718,8 hit 
L 4228010,4 miss eviction 
L 4228040,8 miss eviction 
L 4228038,8 hit 
L 42280e8,8 hit 
L 4fed6f8,8 miss eviction 
L 4228010,4 hit 
L 4228030,8 hit 
L 4228048,8 hit 
L 4228010,4 hit 
L 42280e8,8 hit 
L 4fed748,8 miss eviction 
L 4228080,4 hit 
L 42280e8,8 hit 
L 4fed770,8 miss eviction 
L 4228080,4 hit 
L 4fede48,8 miss eviction 
L 4fedef0,8 miss eviction 
L 4feeb10,8 miss eviction 
L 4fedd90,8 hit 
L 40603c8,8 hit 
L 4feeb24,4 miss eviction 
L 4ff3740,4 miss eviction 
M 4feeb20,4 hit hit 
L 4ff07f8,8 hit 
L 4feeb24,1 hit 
L 4feeb90,8 miss eviction 
L 4fef358,8 miss eviction 
L 4fef384,4 miss eviction 
L 4feeb78,8 miss eviction 
L 4228238,8 miss eviction 
L 4feeb24,1 hit 
L 4fede70,8 hit 
L 4225cb8,8 miss eviction 
L 4fee170,8 miss 
L 4feeb78,8 hit 
L 4228238,8 hit 
L 4feeb24,1 hit 
L 4fee168,8 hit 
L 4feddd0,8 miss 
L 4fef3b0,8 miss 
L 4fedec8,8 miss 
L 4ff0f58,8 miss eviction 
L 4fee080,4 miss eviction 
L 4fedec8,8 hit 
S 4ff0f58,8 hit 
L 4fedeb0,8 miss 
L 4ff07a0,8 miss eviction 
L 4fee1b0,8 miss eviction 
L 4fef3a0,8 miss eviction 
S 4fef3a0,8 hit 
L 4feeb78,8 hit 
S 4228238,8 hit 
L 4fef3a8,8 hit 
S 4fef3a8,8 hit 
L 4228238,8 hit 
S 4feeb78,8 hit 
S 4228238,8 hit 
S 4328248,8 miss eviction 
L 4ff07f4,4 hit 
L 4ff3740,4 miss eviction 
M 4feeb20,4 hit hit 
L 4228238,8 hit 
L 4228048,8 hit 
L 4228010,4 hit 
S 4228050,8 hit 
S 4228048,8 hit 
S 4228010,4 hit 
L 4228048,8 hit 
L 4228010,4 hit 
S 4228028,8 hit 
S 4228018,8 hit 
S 4228020,8 hit 
L 4228050,8 hit 
L 4228020,8 hit 
L 42280d0,4 hit 
S 4228040,8 hit 
S 4228018,8 hit 
S 4228028,8 hit 
S 4228038,8 hit 
S 4228030,8 hit 
S 4228010,4 hit 
L 4228050,8 hit 
L 4228048,8 hit 
L 4228038,8 hit 
L 4228040,8 hit 
S 4228240,1 miss eviction 
S 4228038,8 hit 
L 401641,16 miss eviction 
L 42280e8,8 hit 
L 4fed718,8 miss eviction 
L 4228010,4 hit 
L 4228040,8 hit 
L 4228038,8 hit 
L 401641,1 hit 
S 4228241,1 miss eviction 
L 401642,2 miss eviction 
S 4228242,2 miss eviction 
S 4228038,8 hit 
L 401644,1 miss eviction 
L 401645,1 hit 
L 4db0404,1 miss eviction 
L 4db037c,4 miss eviction 
L 4dafe80,1 hit 
L 42280e8,8 hit 
L 4fed718,8 hit 
L 4228010,4 miss eviction 
L 4228040,8 hit 
L 4228038,8 hit 
S 4228244,1 miss eviction 
S 4228038,8 hit 
L 401646,16 miss eviction 
L 42280e8,8 hit 
L 4fed718,8 hit 
L 4228010,4 hit 
L 4228040,8 hit 
L 4228038,8 hit 
L 401646,2 hit 
S 4228245,2 miss eviction 
S 4228038,8 hit 
L 401648,1 miss eviction 
L 4228010,4 hit 
L 4228098,8 miss eviction 
M 42280f4,4 hit hit 
S 42280f8,8 hit 
L 4ff3740,4 hit 
M 42280f0,4 hit hit 
L 602104,4 miss eviction 
S 642180,4 miss eviction 
L 602058,8 miss eviction 
L 4fede78,8 hit 
L 4060398,4 miss eviction 
L 42280d0,4 hit 
L 4228010,4 hit 
